$3.5 million.	$3.5 milyon.
The blackberry is sticky.	Malagkit ang lumboy.
The blackberry is strange.	Kakaiba ang lumboy.
The blackberry is sweet.	Matamis ang lumboy.
The blackberry is thick.	Makapal ang lumboy.
The blackberry is thirsty.	Uhaw ang lumboy.
The blackberry is ugly.	Pangit ang lumboy.
The blackberry is unripe.	Hilaw ang lumboy.
The blackberry is weird.	Kakaiba ang lumboy.
The blackberry is wet.	Basa ang lumboy.
The blackberry is white.	Puti ang lumboy.
The blackberry is whole.	Buo ang lumboy.
The blackberry is withered.	Lanta ang lumboy.
The blackberry is yellow.	Dilaw ang lumboy.
The blackboard is green.	Berde ang pisara.
The boat is shaky.	Umaalog ang bangka.
The boat is sinking.	Lumulubog ang bangka.
The boat sunk.	Lumubog ang bangka.
The book is thick.	Makapal ang libro.
The book was glowing.	Umiilaw ang libro.
The book was read by me.	Binasa ko ang libro.
The box has been torn.	Ang kahon ay napunit.
The boy was full.	Busog na ang batang lalaki.
The bridge is long.	Ang tulay ay mahaba.
The bulb gets busted.	Napundi ang ilaw.
The bull get chosen.	Napili ang toro.
The bull got a tie.	Nagtabla ang toro.
The bull has a plan.	May plano ang toro.
The bull is confused.	Nalilito ang toro.
The bull is nervous.	Natatakot ang toro.
The bulls return home.	Umuwi ang mga toro.
The bus just left.	Kakaalis lang ng bus.
The bus left early.	Ang bus ay maagang umalis.
The bus was late.	Nahuli ang dating ng bus.
The butterflies won.	Nanalo ang mga paru-paro.
The butterfly stayed.	Nanatili ang paru-paro.
The butterfly tried.	Sinubukan ng paru-paro.
The cabbage is appropriate.	Akma ang repolyo.
The cabbage is beautiful.	Maganda ang repolyo.
The cabbage is bent.	Baluktot ang repolyo.
The cabbage is big.	Malaki ang repolyo.
The cabbage is bitter.	Mapait ang repolyo.
The cabbage is black.	Itim ang repolyo.
The cabbage is bland.	Matabang ang repolyo.
The cabbage is blue.	Asul ang repolyo.
The cabbage is blue.	Bughaw ang repolyo.
The cabbage is brown.	Kayumanggi ang repolyo.
The cabbage is cold.	Malamig ang repolyo.
The cabbage is colorful.	Makulay ang repolyo.
The cabbage is cooked.	Luto ang repolyo.
The cabbage is costly.	Magastos ang repolyo.
The cabbage is dead.	Patay ang repolyo.
The cabbage is delicious.	Masarap ang repolyo.
The cabbage is destroyed.	Wasak ang repolyo.
The cabbage is different.	Iba ang repolyo.
The cabbage is dirty.	Madumi ang repolyo.
The cabbage is dusty.	Maalikabok ang repolyo.
The cabbage is effective.	Mabisa ang repolyo.
The cabbage is elusive.	Mailap ang repolyo.
The cabbage is expensive.	Mahal ang repolyo.
The cabbage is famous.	Sikat ang repolyo.
The cabbage is fresh.	Sariwa ang repolyo.
The cabbage is green.	Berde ang repolyo.
The cabbage is green.	Luntian ang repolyo.
The cabbage is hard.	Matigas ang repolyo.
The cabbage is healthy.	Malusog ang repolyo.
The cabbage is heavy.	Mabigat ang repolyo.
The cabbage is holy.	Banal ang repolyo.
The cabbage is hot.	Mainit ang repolyo.
The cabbage is illegal.	Ilegal ang repolyo.
The cabbage is inadequate.	Kulang ang repolyo.
The cabbage is juicy.	Makatas ang repolyo.
The cabbage is long.	Mahaba ang repolyo.
The cabbage is natural.	Natural ang repolyo.
The cabbage is new.	Bago ang repolyo.
The cabbage is orange.	Kahel ang repolyo.
The cabbage is perfect.	Perpekto ang repolyo.
The cabbage is prohibited.	Bawal ang repolyo.
The cabbage is rare.	Bihira ang repolyo.
The cabbage is raw.	Hilaw ang repolyo.
The cabbage is red.	Pula ang repolyo.
The cabbage is reserved.	Laan ang repolyo.
The cabbage is ripe.	Hinog ang repolyo.
The cabbage is salty.	Maalat ang repolyo.
The cabbage is shiny.	Makintab ang repolyo.
The cabbage is slippery.	Madulas ang repolyo.
The cabbage is small.	Maliit ang repolyo.
The cabbage is soft.	Malambot ang repolyo.
The cabbage is sour.	Maasim ang repolyo.
The cabbage is special.	Espesyal ang repolyo.
The cabbage is spicy.	Maanghang ang repolyo.
The cabbage is sticky.	Malagkit ang repolyo.
The cabbage is strange.	Kakaiba ang repolyo.
The cabbage is sweet.	Matamis ang repolyo.
The cabbage is thick.	Makapal ang repolyo.
The cabbage is thirsty.	Uhaw ang repolyo.
The cabbage is ugly.	Pangit ang repolyo.
The cabbage is unripe.	Hilaw ang repolyo.
The cabbage is valuable.	Mahalaga ang repolyo.
The cabbage is weird.	Kakaiba ang repolyo.
The cabbage is wet.	Basa ang repolyo.
The cabbage is white.	Puti ang repolyo.
The cabbage is whole.	Buo ang repolyo.
The cabbage is withered.	Lanta ang repolyo.
The cabbage is yellow.	Dilaw ang repolyo.
The cake is tasty.	Masarap ang keyk.
The call had dropped.	Ang tawag ay bumaba.
The camel has a mark.	May marka ang kamelyo.
The camels looked back.	Lumingon ang kamelyo.
The can is empty.	Walang laman ang lata.
The can is open.	Ang lata ay bukas.
The candle is burning.	Ang kandila ay umaalab.
The cane grew.	Tumubo ang tubo.
The car is big.	Malaki ang kotse.
The car is expensive.	Mahal ang kotse.
The car is red.	Ang kotse ay pula.
The car is shiny.	Kumikinang ang kotse.
The car is small.	Maliit ang kotse.
The car is white.	Kulay puti ang sasakyan.
The car passed by.	Dumaan yung sasakyan.
The carabao lost.	Natalo ang kalabaw.
The carabao won.	Nanalo ang kalabaw.
The card is captured.	Nahuli ang kard.
The card is not easy.	Hindi madali ang kard.
The cards are hiding.	Nagtatago ang mga kard.
The cashew is appropriate.	Akma ang kasuy.
The cashew is beautiful.	Maganda ang kasuy.
The cashew is bent.	Baluktot ang kasuy.
The cashew is big.	Malaki ang kasuy.
The cashew is bitter.	Mapait ang kasuy.
The cashew is black.	Itim ang kasuy.
The cashew is bland.	Matabang ang kasuy.
The cashew is blue.	Asul ang kasuy.
The cashew is blue.	Bughaw ang kasuy.
The cashew is brown.	Kayumanggi ang kasuy.
The cashew is cold.	Malamig ang kasuy.
The cashew is colorful.	Makulay ang kasuy.
The cashew is cooked.	Luto ang kasuy.
The cashew is costly.	Magastos ang kasuy.
The cashew is dead.	Patay ang kasuy.
The cashew is delicious.	Masarap ang kasuy.
The cashew is destroyed.	Wasak ang kasuy.
The cashew is different.	Iba ang kasuy.
The cashew is dirty.	Madumi ang kasuy.
The cashew is dusty.	Maalikabok ang kasuy.
The cashew is effective.	Mabisa ang kasuy.
The cashew is elusive.	Mailap ang kasuy.
The cashew is expensive.	Mahal ang kasuy.
The cashew is famous.	Sikat ang kasuy.
The cashew is fragrant.	Mahalimuyak ang kasuy.
The cashew is fresh.	Sariwa ang kasuy.
The cashew is green.	Berde ang kasuy.
The cashew is green.	Luntian ang kasuy.
The cashew is hard.	Matigas ang kasuy.
The cashew is healthy.	Malusog ang kasuy.
The cashew is heavy.	Mabigat ang kasuy.
The cashew is holy.	Banal ang kasuy.
The cashew is hot.	Mainit ang kasuy.
The cashew is illegal.	Ilegal ang kasuy.
The cashew is inadequate.	Kulang ang kasuy.
The cashew is juicy.	Makatas ang kasuy.
The cashew is long.	Mahaba ang kasuy.
The cashew is natural.	Natural ang kasuy.
The cashew is new.	Bago ang kasuy.
The cashew is orange.	Kahel ang kasuy.
The cashew is perfect.	Perpekto ang kasuy.
The cashew is prohibited.	Bawal ang kasuy.
The cashew is rare.	Bihira ang kasuy.
The cashew is raw.	Hilaw ang kasuy.
The cashew is red.	Pula ang kasuy.
The cashew is reserved.	Laan ang kasuy.
The cashew is ripe.	Hinog ang kasuy.
The cashew is salty.	Maalat ang kasuy.
The cashew is shiny.	Makintab ang kasuy.
The cashew is slippery.	Madulas ang kasuy.
The cashew is small.	Maliit ang kasuy.
The cashew is soft.	Malambot ang kasuy.
The cashew is sour.	Maasim ang kasuy.
The cashew is special.	Espesyal ang kasuy.
The cashew is spicy.	Maanghang ang kasuy.
The cashew is sticky.	Malagkit ang kasuy.
The cashew is strange.	Kakaiba ang kasuy.
The cashew is sweet.	Matamis ang kasuy.
The cashew is tasteless.	Matabang ang kasuy.
The cashew is thick.	Makapal ang kasuy.
The cashew is thirsty.	Uhaw ang kasuy.
The cashew is ugly.	Pangit ang kasuy.
The cashew is unripe.	Hilaw ang kasuy.
The cashew is valuable.	Mahalaga ang kasuy.
The cashew is weird.	Kakaiba ang kasuy.
The cashew is wet.	Basa ang kasuy.
The cashew is white.	Puti ang kasuy.
The cashew is whole.	Buo ang kasuy.
The cashew is withered.	Lanta ang kasuy.
The cashew is yellow.	Dilaw ang kasuy.
The cat became crazy.	Naging baliw ang pusa.
The cat did not work.	Hindi umandar ang pusa.
The cat exploded.	Sumabog ang pusa.
The cat had a lover.	May iniirog ang pusa.
The cat has a twin.	May kambal ang pusa.
The cat has stripes.	May mga guhit ang pusa.
The cat is a witness.	Isang saksi ang pusa.
The cat is bored.	Naiinip ang pusa.
The cat is crawling.	Gumagapang ang pusa.
The cat is eating.	Kumakain ang pusa.
The cat is going wild.	Nagwawala ang pusa.
The cat is healthy.	Malusog ang pusa.
The cat is leaving.	Aalis na ang pusa.
The cat is pregnant.	Buntis ang pusa.
The cat is pregnant.	Ang pusa ay buntis.
The cat is sleeping.	Natutulog ang pusa.
The cat is wealthy.	Mayaman ang pusa.
The cat loves me.	Mahal ako ng pusa.
The cat meows.	Ang pusa ay ngumingiyaw.
The cat understands.	Naiintindihan ng pusa.
The cat was shaking.	Kumakalog ang pusa.
The cat wrote back.	Sumulat pabalik ang pusa.
The catch?	Ang paghuli?
The catfish is very big.	Ang laki ng hito.
The cats protested.	Nagprotesta ang mga pusa.
The cave collapsed.	Gumuho ang kuweba.
The cave is large.	Malaki ang kuweba.
The cave is long.	Mahaba ang kuweba.
The centipede wakes up.	Nagising ang luslos.
The chair is durable.	Matibay ang upuan.
The chair is far.	Malayo ang upuan.
The chair is hard.	Matigas ang upuan.
The chair is near.	Malapit ang upuan.
The chair is vacant.	Bakante ang upuan.
The chair leg broke.	Nabali ang paa ng upuan.
The chairs are broken!	Sira ang mga silya!
The chairs are broken!	Sira ang mga upuan!
The chairs are broken.	Sira ang mga silya.
The chairs are broken.	Sira ang mga upuan.
The chamomile is big.	Malaki ang mansanilya.
The chamomile is black.	Itim ang mansanilya.
The chamomile is blue.	Asul ang mansanilya.
The chamomile is blue.	Bughaw ang mansanilya.
The chamomile is cold.	Malamig ang mansanilya.
The chamomile is cooked.	Luto ang mansanilya.
The chamomile is dead.	Patay ang mansanilya.
The chamomile is dirty.	Madumi ang mansanilya.
The chamomile is famous.	Sikat ang mansanilya.
The chamomile is fresh.	Sariwa ang mansanilya.
The chamomile is green.	Berde ang mansanilya.
The chamomile is hard.	Matigas ang mansanilya.
The chamomile is holy.	Banal ang mansanilya.
The chamomile is hot.	Mainit ang mansanilya.
The chamomile is long.	Mahaba ang mansanilya.
The chamomile is new.	Bago ang mansanilya.
The chamomile is orange.	Kahel ang mansanilya.
The chamomile is rare.	Bihira ang mansanilya.
The chamomile is raw.	Hilaw ang mansanilya.
The chamomile is red.	Pula ang mansanilya.
The chamomile is ripe.	Hinog ang mansanilya.
The chamomile is salty.	Maalat ang mansanilya.
The chamomile is small.	Maliit ang mansanilya.
The chamomile is sour.	Maasim ang mansanilya.
The chamomile is thirsty.	Uhaw ang mansanilya.
The chamomile is ugly.	Pangit ang mansanilya.
The chamomile is unripe.	Hilaw ang mansanilya.
The chamomile is wet.	Basa ang mansanilya.
The chamomile is white.	Puti ang mansanilya.
The chamomile is whole.	Buo ang mansanilya.
The chamomile is yellow.	Dilaw ang mansanilya.
The cherry is appropriate.	Akma ang seresa.
The cherry is beautiful.	Maganda ang seresa.
The cherry is bent.	Baluktot ang seresa.
The cherry is big.	Malaki ang seresa.
The cherry is bitter.	Mapait ang seresa.
The cherry is black.	Itim ang seresa.
The cherry is bland.	Matabang ang seresa.
The cherry is blue.	Asul ang seresa.
The cherry is blue.	Bughaw ang seresa.
The cherry is brown.	Kayumanggi ang seresa.
The cherry is cold.	Malamig ang seresa.
The cherry is colorful.	Makulay ang seresa.
The cherry is cooked.	Luto ang seresa.
The cherry is costly.	Magastos ang seresa.
The cherry is dead.	Patay ang seresa.
The cherry is delicious.	Masarap ang seresa.
The cherry is destroyed.	Wasak ang seresa.
The cherry is different.	Iba ang seresa.
The cherry is dirty.	Madumi ang seresa.
The cherry is dusty.	Maalikabok ang seresa.
The cherry is effective.	Mabisa ang seresa.
The cherry is elusive.	Mailap ang seresa.
The cherry is expensive.	Mahal ang seresa.
The cherry is famous.	Sikat ang seresa.
The cherry is fresh.	Sariwa ang seresa.
The cherry is green.	Berde ang seresa.
The cherry is green.	Luntian ang seresa.
The cherry is hard.	Matigas ang seresa.
The cherry is healthy.	Malusog ang seresa.
The cherry is heavy.	Mabigat ang seresa.
The cherry is holy.	Banal ang seresa.
The cherry is hot.	Mainit ang seresa.
The cherry is illegal.	Ilegal ang seresa.
The cherry is inadequate.	Kulang ang seresa.
The cherry is juicy.	Makatas ang seresa.
The cherry is long.	Mahaba ang seresa.
The cherry is natural.	Natural ang seresa.
The cherry is new.	Bago ang seresa.
The cherry is orange.	Kahel ang seresa.
The cherry is perfect.	Perpekto ang seresa.
The cherry is prohibited.	Bawal ang seresa.
The cherry is rare.	Bihira ang seresa.
The cherry is raw.	Hilaw ang seresa.
The cherry is red.	Pula ang seresa.
The cherry is reserved.	Laan ang seresa.
The cherry is ripe.	Hinog ang seresa.
The cherry is salty.	Maalat ang seresa.
The cherry is shiny.	Makintab ang seresa.
The cherry is slippery.	Madulas ang seresa.
The cherry is small.	Maliit ang seresa.
The cherry is soft.	Malambot ang seresa.
The cherry is sour.	Maasim ang seresa.
The cherry is special.	Espesyal ang seresa.
The cherry is spicy.	Maanghang ang seresa.
The cherry is sticky.	Malagkit ang seresa.
The cherry is strange.	Kakaiba ang seresa.
The cherry is sweet.	Matamis ang seresa.
The cherry is tasteless.	Matabang ang seresa.
The cherry is thick.	Makapal ang seresa.
The cherry is thirsty.	Uhaw ang seresa.
The cherry is ugly.	Pangit ang seresa.
The cherry is unripe.	Hilaw ang seresa.
The cherry is valuable.	Mahalaga ang seresa.
The cherry is weird.	Kakaiba ang seresa.
The cherry is wet.	Basa ang seresa.
The cherry is white.	Puti ang seresa.
The cherry is whole.	Buo ang seresa.
The cherry is withered.	Lanta ang seresa.
The cherry is yellow.	Dilaw ang seresa.
The chicken can fly.	Kayang lumipad ng manok.
The chicken goes home.	Umuwi ang manok.
The chicken is scared.	Takot ang manok.
The chicken is stuck.	Na-stuck ang manok.
The child is writing.	Ang bata ay sumusulat.
The child is writing.	Ang bata ay nagsusulat.
The child swam.	Lumangoy ang bata.
The child will write.	Ang bata ay susulat.
The child will write.	Ang bata ay magsusulat.
The child writes.	Ang bata ay sumusulat.
The child writes.	Ang bata ay nagsusulat.
The child wrote.	Ang bata ay sumulat.
The child wrote.	Ang bata ay nagsulat.
The children wrote.	Ang mga bata ay sumulat.
The children wrote.	Ang mga bata ay nagsulat.
The chili is appropriate.	Akma ang sili.
The chili is artificial.	Artipisyal ang sili.
The chili is beautiful.	Maganda ang sili.
The chili is bent.	Baluktot ang sili.
The chili is big.	Malaki ang sili.
The chili is bitter.	Mapait ang sili.
The chili is black.	Itim ang sili.
The chili is bland.	Matabang ang sili.
The chili is blue.	Asul ang sili.
The chili is blue.	Bughaw ang sili.
The chili is brown.	Kayumanggi ang sili.
The chili is cold.	Malamig ang sili.
The chili is colorful.	Makulay ang sili.
The chili is cooked.	Luto ang sili.
The chili is costly.	Magastos ang sili.
The chili is dead.	Patay ang sili.
The chili is delicious.	Masarap ang sili.
The chili is destroyed.	Wasak ang sili.
The chili is different.	Iba ang sili.
The chili is dirty.	Madumi ang sili.
The chili is dusty.	Maalikabok ang sili.
The chili is effective.	Mabisa ang sili.
The chili is elusive.	Mailap ang sili.
The chili is expensive.	Mahal ang sili.
The chili is famous.	Sikat ang sili.
The chili is fragrant.	Mahalimuyak ang sili.
The chili is fresh.	Sariwa ang sili.
The chili is green.	Berde ang sili.
The chili is green.	Luntian ang sili.
The chili is hard.	Matigas ang sili.
The chili is healthy.	Malusog ang sili.
The chili is heavy.	Mabigat ang sili.
The chili is holy.	Banal ang sili.
The chili is hot.	Mainit ang sili.
The chili is illegal.	Ilegal ang sili.
The chili is inadequate.	Kulang ang sili.
The chili is juicy.	Makatas ang sili.
The chili is long.	Mahaba ang sili.
The chili is natural.	Natural ang sili.
The chili is new.	Bago ang sili.
The chili is nutritious.	Masustansya ang sili.
The chili is orange.	Kahel ang sili.
The chili is perfect.	Perpekto ang sili.
The chili is prohibited.	Bawal ang sili.
The chili is rare.	Bihira ang sili.
The chili is raw.	Hilaw ang sili.
The chili is red.	Pula ang sili.
The chili is reserved.	Laan ang sili.
The chili is ripe.	Hinog ang sili.
The chili is salty.	Maalat ang sili.
The chili is shiny.	Makintab ang sili.
The chili is slippery.	Madulas ang sili.
The chili is small.	Maliit ang sili.
The chili is soft.	Malambot ang sili.
The chili is sour.	Maasim ang sili.
The chili is special.	Espesyal ang sili.
The chili is spicy.	Maanghang ang sili.
The chili is sticky.	Malagkit ang sili.
The chili is strange.	Kakaiba ang sili.
The chili is sweet.	Matamis ang sili.
The chili is tasteless.	Matabang ang sili.
The chili is thick.	Makapal ang sili.
The chili is thirsty.	Uhaw ang sili.
The chili is ugly.	Pangit ang sili.
The chili is unripe.	Hilaw ang sili.
The chili is valuable.	Mahalaga ang sili.
The chili is weird.	Kakaiba ang sili.
The chili is wet.	Basa ang sili.
The chili is white.	Puti ang sili.
The chili is whole.	Buo ang sili.
The chili is withered.	Lanta ang sili.
The chili is yellow.	Dilaw ang sili.
The Christ.	Ay ang kristo.
The clapping is loud.	Maingay ang palakpakan.
The class is noisy.	Maingay ang klase.
The classroom is locked.	Nakasirado ang room.
The cloth is stretched.	Binanat ang tela.
The cloud is white.	Puti ang ulap.
The clouds are red.	Pula ang mga ulap.
The clouds.	Mga ulap.
The clouds.	Ang mga ulap.
The cockroach goes outside.	Lumabas ang ipis.
The cockroach is a boy.	Ang ipis ay lalaki.
The cockroach is a girl.	Ang ipis ay babae.
The cockroach is a pirate.	Ang ipis ay pirata.
The cockroach is a zombie.	Ang ipis ay aswang.
The cockroach is happy.	Masaya ang ipis.
The cockroach is leading.	Lamang ang ipis.
The cockroach sets off.	Umalis ang ipis.
The coconut is appropriate.	Akma ang buko.
The coconut is appropriate.	Akma ang niyog.
The coconut is beautiful.	Maganda ang buko.
The coconut is beautiful.	Maganda ang niyog.
The coconut is bent.	Baluktot ang buko.
The coconut is bent.	Baluktot ang niyog.
The coconut is big.	Malaki ang buko.
The coconut is big.	Malaki ang niyog.
The coconut is bitter.	Mapait ang buko.
The coconut is bitter.	Mapait ang niyog.
The coconut is black.	Itim ang buko.
The coconut is black.	Itim ang niyog.
The coconut is bland.	Matabang ang buko.
The coconut is bland.	Matabang ang niyog.
The coconut is blue.	Asul ang buko.
The coconut is blue.	Asul ang niyog.
The coconut is blue.	Bughaw ang buko.
The coconut is blue.	Bughaw ang niyog.
The coconut is brown.	Kayumanggi ang buko.
The coconut is brown.	Kayumanggi ang niyog.
The coconut is cold.	Malamig ang buko.
The coconut is cold.	Malamig ang niyog.
The coconut is colorful.	Makulay ang buko.
The coconut is colorful.	Makulay ang niyog.
The coconut is cooked.	Luto ang buko.
The coconut is cooked.	Luto ang niyog.
The coconut is costly.	Magastos ang buko.
The coconut is costly.	Magastos ang niyog.
The coconut is dead.	Patay ang buko.
The coconut is dead.	Patay ang niyog.
The coconut is delicious.	Masarap ang buko.
The coconut is delicious.	Masarap ang niyog.
The coconut is destroyed.	Wasak ang buko.
The coconut is destroyed.	Wasak ang niyog.
The coconut is different.	Iba ang buko.
The coconut is different.	Iba ang niyog.
The coconut is dirty.	Madumi ang buko.
The coconut is dirty.	Madumi ang niyog.
The coconut is dusty.	Maalikabok ang buko.
The coconut is dusty.	Maalikabok ang niyog.
The coconut is effective.	Mabisa ang buko.
The coconut is effective.	Mabisa ang niyog.
The coconut is elusive.	Mailap ang buko.
The coconut is elusive.	Mailap ang niyog.
The coconut is expensive.	Mahal ang buko.
The coconut is expensive.	Mahal ang niyog.
The coconut is famous.	Sikat ang buko.
The coconut is famous.	Sikat ang niyog.
The coconut is fragrant.	Mahalimuyak ang buko.
The coconut is fresh.	Sariwa ang buko.
The coconut is fresh.	Sariwa ang niyog.
The coconut is green.	Berde ang buko.
The coconut is green.	Berde ang niyog.
The coconut is green.	Luntian ang buko.
The coconut is green.	Luntian ang niyog.
The coconut is hard.	Matigas ang buko.
The coconut is hard.	Matigas ang niyog.
The coconut is healthy.	Malusog ang buko.
The coconut is healthy.	Malusog ang niyog.
The coconut is heavy.	Mabigat ang buko.
The coconut is heavy.	Mabigat ang niyog.
The coconut is holy.	Banal ang buko.
The coconut is holy.	Banal ang niyog.
The coconut is hot.	Mainit ang buko.
The coconut is hot.	Mainit ang niyog.
The coconut is illegal.	Ilegal ang buko.
The coconut is illegal.	Ilegal ang niyog.
The coconut is inadequate.	Kulang ang buko.
The coconut is inadequate.	Kulang ang niyog.
The coconut is juicy.	Makatas ang buko.
The coconut is juicy.	Makatas ang niyog.
The coconut is long.	Mahaba ang buko.
The coconut is long.	Mahaba ang niyog.
The coconut is natural.	Natural ang buko.
The coconut is natural.	Natural ang niyog.
The coconut is new.	Bago ang buko.
The coconut is new.	Bago ang niyog.
The coconut is orange.	Kahel ang buko.
The coconut is orange.	Kahel ang niyog.
The coconut is perfect.	Perpekto ang buko.
The coconut is perfect.	Perpekto ang niyog.
The coconut is prohibited.	Bawal ang buko.
The coconut is prohibited.	Bawal ang niyog.
The coconut is rare.	Bihira ang buko.
The coconut is rare.	Bihira ang niyog.
The coconut is raw.	Hilaw ang buko.
The coconut is raw.	Hilaw ang niyog.
The coconut is red.	Pula ang buko.
The coconut is red.	Pula ang niyog.
The coconut is reserved.	Laan ang buko.
The coconut is reserved.	Laan ang niyog.
The coconut is ripe.	Hinog ang buko.
The coconut is ripe.	Hinog ang niyog.
The coconut is salty.	Maalat ang buko.
The coconut is salty.	Maalat ang niyog.
The coconut is shiny.	Makintab ang buko.
The coconut is shiny.	Makintab ang niyog.
The coconut is slippery.	Madulas ang buko.
The coconut is slippery.	Madulas ang niyog.
The coconut is small.	Maliit ang buko.
The coconut is small.	Maliit ang niyog.
The coconut is soft.	Malambot ang buko.
The coconut is soft.	Malambot ang niyog.
The coconut is sour.	Maasim ang buko.
The coconut is sour.	Maasim ang niyog.
The coconut is special.	Espesyal ang buko.
The coconut is special.	Espesyal ang niyog.
The coconut is spicy.	Maanghang ang buko.
The coconut is spicy.	Maanghang ang niyog.
The coconut is sticky.	Malagkit ang buko.
The coconut is sticky.	Malagkit ang niyog.
The coconut is strange.	Kakaiba ang buko.
The coconut is strange.	Kakaiba ang niyog.
The coconut is sweet.	Matamis ang buko.
The coconut is sweet.	Matamis ang niyog.
The coconut is tasteless.	Matabang ang buko.
The coconut is tasteless.	Matabang ang niyog.
The coconut is thick.	Makapal ang buko.
The coconut is thick.	Makapal ang niyog.
The coconut is thirsty.	Uhaw ang buko.
The coconut is thirsty.	Uhaw ang niyog.
The coconut is ugly.	Pangit ang buko.
The coconut is ugly.	Pangit ang niyog.
The coconut is unripe.	Hilaw ang buko.
The coconut is unripe.	Hilaw ang niyog.
The coconut is valuable.	Mahalaga ang buko.
The coconut is valuable.	Mahalaga ang niyog.
The coconut is weird.	Kakaiba ang buko.
The coconut is weird.	Kakaiba ang niyog.
The coconut is wet.	Basa ang buko.
The coconut is wet.	Basa ang niyog.
The coconut is white.	Puti ang buko.
The coconut is white.	Puti ang niyog.
The coconut is whole.	Buo ang buko.
The coconut is whole.	Buo ang niyog.
The coconut is withered.	Lanta ang buko.
The coconut is withered.	Lanta ang niyog.
The coconut is yellow.	Dilaw ang buko.
The coconut is yellow.	Dilaw ang niyog.
The comfort room is clean.	Malinis ang banyo.
The cook is sitting.	Ang tagaluto ay umuupo.
The corn is appropriate.	Akma ang mais.
The corn is artificial.	Artipisyal ang mais.
The corn is beautiful.	Maganda ang mais.
The corn is bent.	Baluktot ang mais.
The corn is big.	Malaki ang mais.
The corn is bitter.	Mapait ang mais.
The corn is black.	Itim ang mais.
The corn is bland.	Matabang ang mais.
The corn is blue.	Asul ang mais.
The corn is blue.	Bughaw ang mais.
The corn is brown.	Kayumanggi ang mais.
The corn is cold.	Malamig ang mais.
The corn is colorful.	Makulay ang mais.
The corn is cooked.	Luto ang mais.
The corn is costly.	Magastos ang mais.
The corn is dead.	Patay ang mais.
The corn is delicious.	Masarap ang mais.
The corn is destroyed.	Wasak ang mais.
The corn is different.	Iba ang mais.
The corn is dirty.	Madumi ang mais.
The corn is dusty.	Maalikabok ang mais.
The corn is effective.	Mabisa ang mais.
The corn is elusive.	Mailap ang mais.
The corn is expensive.	Mahal ang mais.
The corn is famous.	Sikat ang mais.
The corn is fragrant.	Mahalimuyak ang mais.
The corn is fresh.	Sariwa ang mais.
The corn is green.	Berde ang mais.
The corn is green.	Luntian ang mais.
The corn is hard.	Matigas ang mais.
The corn is healthy.	Malusog ang mais.
The corn is heavy.	Mabigat ang mais.
The corn is holy.	Banal ang mais.
The corn is hot.	Mainit ang mais.
The corn is illegal.	Ilegal ang mais.
The corn is inadequate.	Kulang ang mais.
The corn is juicy.	Makatas ang mais.
The corn is long.	Mahaba ang mais.
The corn is natural.	Natural ang mais.
The corn is new.	Bago ang mais.
The corn is nutritious.	Masustansya ang mais.
The corn is orange.	Kahel ang mais.
The corn is perfect.	Perpekto ang mais.
The corn is prohibited.	Bawal ang mais.
The corn is rare.	Bihira ang mais.
The corn is raw.	Hilaw ang mais.
The corn is red.	Pula ang mais.
The corn is reserved.	Laan ang mais.
The corn is ripe.	Hinog ang mais.
The corn is salty.	Maalat ang mais.
The corn is shiny.	Makintab ang mais.
The corn is slippery.	Madulas ang mais.
The corn is small.	Maliit ang mais.
The corn is soft.	Malambot ang mais.
The corn is sour.	Maasim ang mais.
The corn is special.	Espesyal ang mais.
The corn is spicy.	Maanghang ang mais.
The corn is sticky.	Malagkit ang mais.
The corn is strange.	Kakaiba ang mais.
The corn is sweet.	Matamis ang mais.
The corn is tasteless.	Matabang ang mais.
The corn is thick.	Makapal ang mais.
The corn is thirsty.	Uhaw ang mais.
The corn is ugly.	Pangit ang mais.
The corn is unripe.	Hilaw ang mais.
The corn is valuable.	Mahalaga ang mais.
The corn is weird.	Kakaiba ang mais.
The corn is wet.	Basa ang mais.
The corn is white.	Puti ang mais.
The corn is whole.	Buo ang mais.
The corn is withered.	Lanta ang mais.
The corn is yellow.	Dilaw ang mais.
The corridor is long.	Ang pasilyo ay mahaba.
The court got dirty.	Nadumihan ang court.
The cow apologizes.	Humingi ng tawad ang baka.
The cow can be eaten.	Kayang kainin ang baka.
The cow eats grass.	Kumakain ang baka ng damo.
The cow goes outside.	Lumabas ang baka.
The cow have no idea.	Walang ideya ang baka.
The cow is a healer.	Manggagamot ang baka.
The cow is big.	Malaki ang baka.
The cow is delicious.	Masarap ang baka.
The cow is fat.	Mataba ang baka.
The cow is going down.	Bumababa ang baka.
The cow is happy.	Masaya ang baka.
The cow is shocked.	Nagulat ang baka.
The cow is sick.	May sakit ang baka.
The cow is tagged.	May marka ang baka.
The cow is tracked down.	Nahanap ang baka.
The cow may get lost.	Baka maligaw ang baka.
The cow wanders around.	Naglibot ang baka.
The crab is bored.	Naiinip ang alimango.
The cricket love him.	Mahal siya ng kuliglig.
The crocodile is evil.	Masama ang buwaya.
The crocodile was lenient.	Mabait ang buwaya.
The crow flew away.	Lumipad ang uwak.
The crow is black.	Maitim ang uwak.
The crow is flying.	Lumilipad ang uwak.
The cucumber is appropriate.	Akma ang pipino.
The cucumber is beautiful.	Maganda ang pipino.
The cucumber is bent.	Baluktot ang pipino.
The cucumber is big.	Malaki ang pipino.
