Good morning, he said.	Magandang umaga, sinabi niya.
Papayas are not round.	Hindi bilog ang mga papaya.
Paper that are worthless.	Papel na walang halaga.
I think there is something wrong.	Parang may mali ata.
Parke Puno is full of trees.	Ang Parke Puno ay puno ng puno.
Participate on the activities.	Makibahagi sa mga aktibidad.
I'm sorry it took me long.	Pasensya na at natagalan ako.
Pass the ball to me.	Ipasa mo sa akin ang bola.
Pass the requirement tomorrow.	Ipasa ang gawain bukas.
Pass the word around.	Ipasa ang balita sa pali-paligid.
Pass your homework.	Ipasa mo ang araling-bahay.
Pass your papers.	Ipasa na ang iyong mga papel.
Pastor Anderson: Did he say.	Pastor Anderson: Sinabi ba niya.
Pastor Anderson: So.	Pastor Anderson: Kaya ayon dito.
Pastor Jimenez: He says.	Pastor Jimenez: Sabi niya.
Pastor Jimenez: You say.	Pastor Jimenez: sasabihin ninyo.
Patrick is so funny.	Si Patrick ay sobrang nakakatawa.
Patrick Swayze sixty-three.	Patrick Swayze animnapu't tatlo.
Paul has hemorrhoid right now.	May almoranas si Pablo ngayon.
Paul wants to become happy.	Gusto ni Paul maging masaya.
Peace cannot be kept.	Ang kapayapaan ay hindi mapapanatili.
Pee runs down alleys.	Ang ihi ay dumadaloy sa mga kalye.
Peel two of the bananas.	Magtalop nang dalawa sa mga saging.
Penny is my friend.	Si Penny ay aking kaibigan.
People are afraid of sharks.	Takot ang mga tao sa mga pating.
People are already sleeping.	Ang mga tao ay natutulog na.
People swim in the waterfall.	Lumalangoy ang mga tao sa talon.
Perhaps it will rain tomorrow.	baka umulan na bukas.
Perhaps it will rain tomorrow.	siguro ay uulan bukas.
Perhaps Tom can help you.	Baka matulungan ka ni Tomas.
Peter instantly became rich.	Biglaang yumaman si Pedreo.
Phoronida Twenty kinds.	Phoronida Dalawampung mga uri.
pieces of paper or coins.	na piraso ng papel o barya.
Pigs eat trash.	Kumakain ng basura ang mga baboy.
Pigs live in farms.	Nakatira sa mga bukid ang mga baboy.
pineapple is getting more expensive.	mas nagmumura ang pinya.
Pineapple is good for the body.	Maganda sa katawan ang pinya.
Pineapple is more expensive.	Mas mahal ang pinya.
pineapple is not that cheap.	hindi ganoon kamura ang pinya.
Pineapple is nutritious.	Ang pinya ay masustansya.
Pineapple is the cheapest.	Pinakamura ang pinya.
pineapple is the most expensive.	pinakamahal ang pinya.
pineapple is very expensive.	napakamahal ng pinya.
Pineapple makes you smarter.	Pampatalino ang pinya.
Pineapples are delicious.	Masarap ang mga pinya.
Pineapples are hard to cut.	Mahirap hiwain ang mga pinya.
place before the tribulation.	bago ang kapighatian.
Planting is no joke.	Ang pagtatanim ay 'di biro.
Plants are not people.	Hindi tao ang mga halaman.
Plants cannot move.	Hindi nakakagalaw ang mga halaman.
Plants do not have souls.	Walang kaluluwa ang mga halaman.
Play against me at chess!	Labanan mo ako sa chess!
Please accompany Roger.	Pakisamahan mo si Roger.
Please answer the forms.	Paki-sagutan ang mga form.
Please avoid erasures.	Paki-iwasan ang pagbura.
Please be good to me.	Paki-usap maging mabait ka sa akin.
Please be seated, ladies and gentlemen.	Maupo po ang lahat.
Please begin immediately.	Mangyaring magsimula agad.
Please book our flight.	Ibook mo ang ating flight.
Please bring it back tomorrow.	pakiusap na ibalik ito bukas.
Please buy me a cigarette.	Bilhan mo ako ng sigarilyo.
Please call me tonight.	Pakitawagan mo ako ngayong gabi.
Please call me up later.	pakiusap tawagan mo ako mamaya.
Please call the ambulance.	Mangyaring tawagan ang ambulansya.
Please call the police.	Mangyaring tawagan ang polisya.
Please change the channel.	Pakilipat ang channel.
Please check-in your bag.	Paki-check-in ang iyong bag.
Please close the door.	Pakisarado moa ng pinto.
Please come whenever you like.	Pumunta ka lang kapag gusto mo.
Please come with Roger.	Pakisamahan mo si Roger.
Please contact me later.	Tawagan mo ako mamaya.
Please count this for me.	Paki-bilang naman ito para sa akin.
Please cut his leg off.	Pakiputol ang binti niya.
Please cut off his leg.	Pakiputol ang binti niya.
Please do it quickly.	Pakigawa nang mabilis nga.
Please do it quickly.	Waring gawin mo iyon kaagad.
Please do not go.	Pakiusap, huwag kang umalis.
Please do not leave me.	Pakiusap, huwag mo akong iwan.
Please do the bulletin board.	Pakigawa iyong bulletin board.
Please don't lean on the glass.	Huwag sumandal sa salamin.
Please don't step on the grass.	Huwag umapak sa damuhan.
Please drive safely.	Mangyaring magmaneho ka nang ligtas.
Please excuse me for being rude.	Pawalang galang, po.
Please fall in line.	Mangyaring pumila po tayo.
Please fold this paper.	Pakitupi ang papel na ito.
Please give me a cup of tea.	Isang tasang tsa, nga.
Please give me your pillow.	Ibigay mo sa akin ang iyong unan.
Please have this grass.	Kunin nyo po ang damong ito.
Please help yourself to more cake.	Kumuha ka pa ng keyk.
Please hold the line.	Maghintay lang po kayo sandali.
Please keep quiet everyone.	Mangyaring tumahimik ang lahat.
Please keep your ticket.	Itago mo ang iyong tiket.
Please light a candle.	Magsindi ka naman ng kandila.
Please lower the price.	Babaan niyo naman po nang presyo.
Please move quickly.	Waring bilisan ang pagkilos.
Please move your car.	Pakilipat ang iyong kotse.
Please open the package.	Pakibukas ng balutan, nga.
Please paint the door white.	Pakipinturahan ang pintong puti.
Please peek from the window.	Pakisilip mula sa bintana.
Please post the announcement.	Pakipaskil ang mga anunsyo.
Please pour me a little tea.	Kaunting tsa, nga.
Please push the curtains aside.	Paki-hawi ang mga kurtina.
Please put on your slippers.	Magsuot po kayo ng tsinelas.
Please put this on her table.	Pakilagay ito sa kanyang mesa.
Please put this on his table.	Pakilagay ito sa kanyang mesa.
Please put this on my table.	Pakilagay ito sa mesa ko.
Please put this on my table.	Pakilagay ito sa aking mesa.
Please put this on our table.	Pakilagay ito sa aming mesa.
Please put this on our table.	Pakilagay ito sa ating mesa.
Please remain at your spot.	Manatili ka sa iyong puwesto.
Please repeat after me.	Maaaring ulitin mo pagkatapos ko.
Please repeat what Kyle said.	Pakiulit ang sinabi ni Kyle.
Please sign your name here.	Pirmahan mo pangalan mo dito.
Please sing the school hymn.	Pakiawit ang himno ng paaralan.
Please speak in English.	Mangyaring magsalita sa Ingles.
Please speak in Filipino.	Mangyaring magsalita sa Filipino.
Please speak louder.	Pakilakasan ang iyong pagsasalita.
Please speak more loudly.	Pakilaksan ang pagsasalita, nga.
Please speak slower.	Maari ka bang magsalita ng mabagal.
Please speak softer.	Pakihinaan ang iyong pagsasalita.
Please stay on the line.	Manatili po sa inyong pila.
Please stay on your lane.	Manatili po sa inyong linya.
Please take it off.	Pakiusap, hubarin mo yan.
Please tell her to hurry.	Pakisabihan siya na magmadali.
Please turn off the computer.	Pa-patay ng computer.
Please turn off the lights.	Pakipatay mo nga ang ilaw.
Please turn off the music.	Patayin mo ang tugtog.
Please turn off the sound.	Patayin mo ang tunog.
Please turn on the computer.	Pa-bukas ng computer.
Please use your headphone.	Gamitin mo ang iyong headphone.
Please wait a moment.	Maghintay lang po kayo sandali.
Please wake me up at seven.	Pakigising ako nang alas siyete.
Please wash your hands.	Maghugas iyong mga kamay.
Please water the plants.	Pakidilig ang mga halaman.
Please water the plants.	Pakidiligan mo ang mga halaman.
Please wear your ID at all times.	Pakisuot ang ID palagi.
Please wear your nametag.	Pakisuot ang nametag palagi.
Please wear your sun glass.	Suotin mo ang iyong sun glass.
Please write your last name.	Pakisulat ng iyong apelyido.
plenty of time he repeated.	marami pang oras kanyang inulit.
Pomelo is good for the body.	Maganda sa katawan ang suha.
pork is getting more expensive.	mas nagmumura ang baboy.
pork is not that cheap.	hindi ganoon kamura ang baboy.
pork is not that expensive.	hindi ganoong kamahal ang baboy.
pork is the most expensive.	pinakamahal ang baboy.
Practice full of vitality.	Mag-ensayo ka ng buong sigla.
Practice will start soon.	Magsisimula na ang pagsasanay.
Pray to all your gods.	Magdasal ka sa lahat ng diyos mo.
Prepare a one whole sheet of paper.	Mag handa ng buong papel.
prepared for it at all.	handa para sa lahat ng ito.
Present tense IS come.	Pangakasalukuyan AY nandito na.
Pretty interesting, right?	Medyo kawili-wili, tama?
Probably, but not now.	Siguro, pero hindi ngayon.
Push me down the cliff.	Itulak mo ako sa bangin.
Push with all your might.	Itulak mo nang buong lakas.
Push your limits.	Itulak ang iyong mga limitasyon.
Put away your bicycle.	Itago mo ang iyong bisikleta.
Put down your weapons.	Ibaba moa ng iyong mga sandata.
Put ice in this glass.	Lagyan mo ng yelo ang basong ito.
Put ice to your wounds.	Lagyan mo ng yelo ang iyong sugat.
Put this in your bottle.	Ilagay mo ito sa bote mo.
Put your body on me.	Ilagay mo ang katawan mo sa akin.
Put your hands down.	Ibaba nyo ang mga kamay nyo.
Put your lips on mine.	Ilagay moa ng iyong mga labi sa akin.
Put your poison in me.	Ipasok mo ang lason mo sa akin.
Put your signature here.	Ilagay mo ang iyong lagda dito.
Can you please help me?	Pwede mo ba akong tulungan?
Pythons are not poisonous.	Hindi makamandag ang mga sawa.
Quick, photocopy this.	Bilis, iphotocopy mo.
radish is getting more expensive.	mas nagmumura ang labanos.
Radish is good for the body.	Maganda sa katawan ang labanos.
Radish is more expensive.	Mas mahal ang labanos.
radish is not that cheap.	hindi ganoon kamura ang labanos.
Radish is nutritious.	Ang labanos ay masustansya.
Radish is the cheapest.	Pinakamura ang labanos.
radish is the most expensive.	pinakamahal ang labanos.
Radish is very expensive.	Napakamahal ng labanos.
Radish makes you smarter.	Pampatalino ang labanos.
Rafaela is a patient.	Si Rafaela ay isang pasyente.
Rafaela is not a patient.	Si Rafaela ay hindi pasyente.
Rafaela isn't a patient.	Si Rafaela ay hindi pasyente.
Rainbows are beautiful.	Ang mga bahaghari ay maganda.
Raj doesn't work hard.	Hindi nagtatrabaho ng maigi si Ramu.
Ralph got onto another train.	Sumakay si Ralph sa ibang tren.
rambutan is more expensive.	mas mahal ang rambutan.
rambutan is not that cheap.	hindi ganoon kamura ang rambutan.
rambutan is the cheapest.	pinakamura ang rambutan.
rambutan is the most expensive.	pinakamahal ang rambutan.
Rambutan is very cheap.	Napakamura ng rambutan.
rambutan is very expensive.	napakamahal ng rambutan.
Ramu never jogs.	Kahit kailan ay hindi tumatakbo si Ramu.
Rats are eaten by cats.	Kinakain ng mga pusa ang mga daga.
Rats bring disease.	Nagdadala ng sakit ang mga daga.
Rats cause disease.	Nagdudulot ng sakit ang mga daga.
Rats like cheese.	Mahilig sa keso ang mga daga.
RD is such a big pervert.	Napakamanyak talaga ni RD.
Read in the library.	Magbasa ka sa silid-aklatan.
Read it once more.	Basahin mo ito ng isang ulit pa.
Read the instructions.	Basahin ang mga tagubilin.
Real life can wait.	Ang tunay na buhay ay makakapaghintay.
Rebellion is not the solution.	Hindi solusyon ang pag-aalsa.
Red is my favorite color.	Pula ang paborito kong kulay.
Red is my favorite color.	Pula ang aking paboritong kulay.
Red is the color of blood.	Pula ang kulay ng dugo.
Rejected every time.	Palaging hindi natatanggap.
Remove the chicken's skin.	Alisin mo ang balak ng manok.
removed entire verses.	inalis ang ilang mga buong bersikulo.
Reply that we will attend.	Sabihin mo na pupunta tayo.
Respect the elders.	Galangin ang mga mas nakakatanda.
Rest your foot first.	Ipahinga mo muna ang iyong paa.
Revolutions come.	Dumarating ang mga rebolusyon.
Rice grows in fields.	Tumutubo ang kanin sa mga bukid.
Richard is frying an egg.	Nagpriprito ng itlog si Richard.
Rocks have no kidneys.	Walang bato ang mga bato.
Rocks have rights too.	Ang mga bato ay may karapatan din.
Rome was not built in a day.	Di nagawa ang Roma sa isang araw.
Roses are colored red.	Kulay pula ang mga rosas.
Roses are expensive to buy.	Mahal bilhin ang mga rosas.
Roses are usually red.	Madalas pula ang mga rosas.
Rostov will reply tomorrow .	bukas sasagot si Rostov.
Rotifera 1,800 types.	Rotifera 1,800 mga uri.
Rough rocks are bad.	Masama ang magagaspang na bato.
Rules are rules.	Ang alituntunin ay alituntunin.
Running is a good exercise.	Magandang ehersisyo ang pagtakbo.
Running makes a person lose weight.	Nakakapayat ang pagtakbo.
She will give birth on July.	Sa July siya manganganak.
Where can I throw this?	Saan ko ba itatapon ito?
Sagada is a cold area.	Malamig na lugar ang Sagada.
Thanks for your explanation.	Salamat sa iyong paliwanag.
Sally's mother is a doctor.	Ang ina ni Sally ay isang doktor.
I wish I could go there.	Sana makapunta ako doon.
Sarah is a good girl.	Si Sarah ay isang mabait na babae.
Sarah's mother is caring.	Ang nanay ni Sarah ay mapagkalinga.
sardines is more expensive.	mas mahal ang sardinas.
sardines is not that cheap.	hindi ganoon kamura ang sardinas.
sardines is the cheapest.	pinakamura ang sardinas.
sardines is the most expensive.	pinakamahal ang sardinas.
Sardines is very cheap.	Napakamura ng sardinas.
sardines is very expensive.	napakamahal ng sardinas.
Save it till later.	Tipirin mo hanggang mamaya.
Save your money in the bank.	Mag-impok ka sa bangko.
Say goodbye before you go.	Magpaalam ka bago ka umalis.
Say I never mattered.	Sabihin mong wala akong kwenta.
Say to me in that day.	Sa akin sa araw na yaon.
Say your prayers.	Banggitin mo na ang mga panalangin mo.
School begins tomorrow.	magsisimula na ang pasukan bukas.
School will begin tomorrow.	magpapasukan na bukas.
Science is fun to learn.	Ang Siyensya ay masayang pag-aralan.
Scorpions have weapons.	May armas ang mga alakdan.
Second Monday is on June 12.	Ikalawang Lunes ay sa Hunyo 12.
Second Sunday is on July 9.	Ikalawang Linggo ay Hulyo 9.
Second Sunday is on May 14.	Ikalawang linggo ay sa Mayo 14.
See a doctor today.	Magpatingin ka sa doktor ngayon.
See it once, please.	Tingnan nyo muna, pakiusap.
See you in an hour.	Magkita tayo sa loob ng isang oras.
See you in two weeks.	Kitakits sa susunod na dalawang linggo.
See you later, then.	magkita ulit tayo mamaya no.
See you next month!	Kitakits sa susunod na buwan!
See you next week!	Kitakits sa susunod na linggo!
See you next week.	Magkita tayo sa susunod na linggo.
See you this weekend!	Magkita tayo ngayong linggo!
See you tomorrow afternoon.	magkita tayo bukas ng hapon.
See you tomorrow at school.	kita tayo bukas sa eskwela.
See you tomorrow at the library.	kita tayo bukas sa aklatan.
Seeds of bananas are tiny.	Maliit ang mga buto ng mga saging.
Sell some softdrinks to me.	Bentahan mo ako ng softdrinks.
Send me a postcard.	Padalhan mo ako ng postcard.
Send me pictures.	Padalhan mo ako ng mga litrato.
Send me your location.	Ipadala mo sa akin ang iyong lokasyon.
Send the file tonight.	Pa-send ng file mamayang gabi.
Separate the white of the egg.	Ihiwalay mo ang puti ng itlog.
September 1 is Monday.	Ang ika-isa ng Septyembre ay Lunes.
September 1 is Thursday.	Ang ika-isa ng Septyembre ay Huwebes.
September 1 is Tuesday.	Ang ika-isa ng Septyembre ay Martes.
September 10 is Monday.	Ang ika-sampu ng Septyembre ay Lunes.
September 2 is Monday.	Ang ika-dalawa ng Septyembre ay Lunes.
September 3 is Monday.	Ang ika-tatlo ng Septyembre ay Lunes.
September 3 is Tuesday.	Ang ika-tatlo ng Septyembre ay Martes.
September 4 is Monday.	Ang ika-apat ng Septyembre ay Lunes.
September 4 is Tuesday.	Ang ika-apat ng Septyembre ay Martes.
September 5 is Monday.	Ang ika-lima ng Septyembre ay Lunes.
September 5 is Tuesday.	Ang ika-lima ng Septyembre ay Martes.
September 6 is Monday.	Ang ika-anim ng Septyembre ay Lunes.
September 6 is Tuesday.	Ang ika-anim ng Septyembre ay Martes.
September 7 is Monday.	Ang ika-pito ng Septyembre ay Lunes.
September 7 is Tuesday.	Ang ika-pito ng Septyembre ay Martes.
September 8 is Monday.	Ang ika-siyam ng Septyembre ay Lunes.
September 8 is Tuesday.	Ang ika-siyam ng Septyembre ay Martes.
sesame is getting more expensive.	mas nagmumura ang linga.
sesame is not that cheap.	hindi ganoon kamura ang linga.
sesame is the most expensive.	pinakamahal ang linga.
Sesame is very expensive.	Napakamahal ng linga.
Seven hundred thousand pesos.	Pitong daang libong piso.
Seven hundred thousand years.	Pitong daang libong taon.
Seventy six students.	Pitumpu't animng estudyante.
Shake hands with the rebel.	Kamayan mo ang rebelde.
Shall I gift wrap it?	Dapat ko bang ibalot ito?
Shall I wrap it up for you?	Balutin ko na ba ito para sa iyo?
Shall I write it on the board?	Isusulat ko pa ba sa pisara?
Shall we walk to the station?	Maglakad kaya tayo sa estasyon?
Shall we walk to the station?	Maglalakad ba tayo sa estasyon?
Shame for your sins!	Kahihiyan para sa iyong mga sala!
shark is getting more expensive.	mas nagmumura ang pating.
shark is not that cheap.	hindi ganoon kamura ang pating.
shark is the most expensive.	pinakamahal ang pating.
Shark is very expensive.	Napakamahal ng pating.
Sharks are good swimmers.	Magaling tagalangoy ang pating.
Sharks eat fish.	Kumakain ng mga isda ang mga pating.
Sharks kill humans.	Pumapatay ng mga tao ang mga pating.
She admitted the patient.	Ipinapasok niya ang pasyente.
She already drank milk.	Uminom na siya ng gatas.
She always gets up early.	palagi siyang gumigising nang maaga.
She always tells me stories.	Lagi niya akong kinekwentuhan.
She apologized to me.	Siya ay humingi ng tawad sa akin.
She approached the medic.	Pinuntahan niya ang medic.
She ate bitter food.	Kumain siya ng mapait na pagkain.
She ate greasy food.	Kumain siya ng mamantikang pagkain.
She ate healthy food.	Kumain siya ng pampalusog na pagkain.
She ate his pills.	Ininom niya ang mga gamot niya.
She ate last April 10.	Kumain siya noong Abril 10.
She ate last January 21.	Kumain siya noong Enero 21.
She ate salty food.	Kumain siya ng maalat na pagkain.
She ate sweet food.	Kumain siya ng matamis na pagkain.
She belongs to hell.	Nararapat siya sa impyerno.
She bought a syringe.	Bumili siya ng hiringgilya.
She broke her arm.	Nabali niya ang kanyang braso.
She broke her finger.	Nabali niya ang kanyang daliri.
She broke her hand.	Nabali niya ang kanyang kamay.
She broke her leg.	Nabali niya ang kanyang binti.
She broke her neck.	Nabali niya ang kanyang leeg.
She broke her ribs.	Nabali niya ang kanyang buto-buto.
She broke his arm.	Nabali niya ang kanyang braso.
She broke his finger.	Nabali niya ang kanyang daliri.
She broke his hand.	Nabali niya ang kanyang kamay.
She broke his leg.	Nabali niya ang kanyang binti.
She broke his neck.	Nabali niya ang kanyang leeg.
She broke his ribs.	Nabali niya ang kanyang buto-buto.
She called an ambulance.	Tumawag siya ng ambulansya.
She called me last night.	Tumawag siya sa akin kagabi.
She called the dentist.	Tinawag niya ang dentista.
She called the hospital.	Tinawagan niya ang ospital.
She came across Jack yesterday.	nadaanan niya si Jack kahapon.
She came home very late.	gabing-gabi na siya umuwi.
she can begin on sunday.	makakapagsimula na siya sa linggo.
she can ride on wednesday.	makakasakay siya sa miyerkules.
she can run on tuesday.	makakatakbo siya sa martes.
She can't cook well.	Hindi siya masyadong marunong magluto.
She cannot concentrate.	Hindi siya makapag-isip nang mabuti.
She cannot drive.	Hindi siya marunong magmaneho.
She cannot speak well.	Hindi siya makapagsalita nang maayos.
She celebrated last March 6.	Magdiriwang siya noong Marso 6.
She cheated in the quiz.	Nandaya siya sa pagsusulit.
She closed the window.	Sinara niya ang bintana.
She closes the window.	Isasara niya ang bintana.
She collects money from there.	Naninigil siya roon.
She colors my hair.	Kinukulayan nya ang buhok ko.
She committed suicide yesterday.	nagpakamatay siya kahapon.
She could not find the doctor.	Hindi niya mahanap ang doktor.
She crashed her car.	Binangga niya ang kotse niya.
She crashed his car.	Binangga niya ang kotse niya.
She crashed into the pole.	Bumangga siya sa poste.
She crashed into the tree.	Bumangga siya sa puno.
She crashed our car.	Binangga niya ang kotse namin.
She cut her finger.	Nahiwa niya ang daliri niya.
She dashed downstairs.	Tumakbo siya pababa ng hagdan.
She denied having met him.	Tinanggi niyang natagpo niya siya.
She deserves to be a teacher.	Nararapat siyang maging guro.
She destroyed it, man.	Sinira niya ito, pare.
She did not learn anything.	Hindi siya natuto ng kahit ano.
She did not like it.	Hindi niya nagustuhan iyon.
She did not turn up after all.	Di siya sumipot nga.
She did the whole project.	Ginawa niya ang buong proyekto.
She didn't go yesterday.	hindi siya pumunta kahapon.
She didn't have any pencils.	Wala siyang panulat.
She died yesterday afternoon.	pumanaw siya kahapon ng hapon.
She doesn't have any enemies at all.	Siya ay walang kaaway.
She doesn't like wearing heels.	Hindi siya mahilig magtakong.
She doesn't need to work.	Hindi niya kailangang magtrabaho.
She don't like me back.	Hindi niya ako gusto pabalik.
She drank her medicine.	Ininom niya ang mga gamot niya.
She drank her pills.	Ininom niya ang mga gamot niya.
She drank his pills.	Ininom niya ang mga gamot niya.
She drank last January 4.	Uminom siya noong Enero 4.
She drives to the forest.	Nagmaneho siya papunta sa kagubatan.
She drove faster.	Nagmaneho siya ng mas mabilis.
She drove to the pharmacy.	Nagmaneho siya papunta ng parmasya.
She entered the hospital.	Pumasok siya sa ospital.
She experienced asthma attack.	Inatake siya ng hika.
She feels better.	Mas mabuti ang pakiramdam niya.
She feels much better.	Mas mabuti ang pakiramdam niya.
She feels the same.	Pareho lang ang nararamdaman niya.
She feels worse.	Mas masama ang pakiramdam niya.
She fell down the stairs.	Nahulog siya sa hagdan.
She finished college.	Nakapagtapos siya ng kolehiyo.
She finished elementary.	Nakapagtapos siya ng elementarya.
She finished only half.	Kalahati lamang ang kaniyang tinapos.
She finished with honor.	Nakapagtapos siya ng may karangalan.
She followed the dentist.	Sinundan nila yung dentista.
She followed the doctor.	Sinundan nila yung doktor.
She followed the nurse.	Sinundan nila yung nurse.
She followed the surgeon.	Sinundan nila yung siruhano.
She forgot her medicine.	Nakalimutan niya ang gamot niya.
She forgot his medicine.	Nakalimutan niya ang gamot niya.
She forgot our medicine.	Naiwan niya ang gamot niya.
She forgot their medicine.	Nakalimutan niya ang gamot niya.
She found a hospital.	Nakahanap siya ng ospital.
She gathered medicine.	Kumuha siya ng mga gamot.
She gave her a blood test.	Kinuhanan siya ng dugo.
She gave her food.	Binigyan niya siya ng pagkain.
She gave him a blood test.	Kinuhanan siya ng dugo.
She gave him food.	Binigyan niya siya ng pagkain.
She gave the diagnosis.	Binigay niya ang diyagnosis.
She gave them blood tests.	Kinuhanan siya ng dugo.
She gave them food.	Binigyan niya siya ng pagkain.
She got a wheelchair.	Mayroon siyang wheelchair.
She got him to drive.	Nakuha niya siya upang magmaneho.
She got the diagnosis.	Nakuha niya ang diyagnosis.
She had peeped into the book.	Siya ay sumilip sa libro.
She had white shoes on.	Suot niya'y puting sapatos.
She has a flower in her hand.	May bulaklak siya sa kamay niya.
She has a large dog.	Mayroon siyang malaking aso.
She has an eye for beauty.	May mata siya para sa kagandahan.
She has bad breath.	Siya ay may mabahong hininga.
She has been busy since yesterday.	Kahapon pa siya busy.
She has classes tomorrow.	May mga klase siya bukas.
She has health insurance.	Mayroon siyang health insurance.
She has high blood pressure.	Mataas ang presyon ng dugo niya.
She has infection in her arm.	May impeksyon ang kanyang braso.
She has infection in her ear.	May impeksyon ang kanyang tenga.
She has infection in her eye.	May impeksyon ang kanyang mata.
She has infection in her foot.	May impeksyon ang kanyang paa.
She has infection in her lung.	May impeksyon ang kanyang baga.
She has kidney infection.	May impeksyon siya sa bato.
She has much to live for.	Marami siyang dahilan para mabuhay.
She has no plan to be serious.	Wala siyang balak magseryoso.
She has no teeth anymore.	Wala na siyang ngipin.
She has pain in her arm.	May pananakit sa kanyang braso.
She has pain in her arms.	May pananakit sa kanyang mga braso.
She has pain in her back.	May pananakit sa kanyang likod.
She has pain in her brain.	May pananakit sa kanyang utak.
She has pain in her breast.	May pananakit sa kanyang suso.
She has pain in her chest.	May pananakit sa kanyang dibdib.
She has pain in her ear.	May pananakit sa kanyang tenga.
She has pain in her ears.	May pananakit sa kanyang mga tenga.
She has pain in her elbow.	May pananakit sa kanyang siko.
She has pain in her elbows.	May pananakit sa kanyang mga siko.
She has pain in her eye.	May pananakit sa kanyang mata.
She has pain in her eyes.	May pananakit sa kanyang mga mata.
She has pain in her feet.	May pananakit sa kanyang mga paa.
She has pain in her finger.	May pananakit sa kanyang daliri.
She has pain in her foot.	May pananakit sa kanyang paa.
She has pain in her hand.	May pananakit sa kanyang kamay.
She has pain in her hands.	May pananakit sa kanyang mga kamay.
She has pain in her heart.	May pananakit sa kanyang puso.
She has pain in her kidney.	May pananakit sa kanyang bato.
She has pain in her knee.	May pananakit sa kanyang tuhod.
She has pain in her knees.	May pananakit sa kanyang mga tuhod.
She has pain in her lung.	May pananakit sa kanyang baga.
She has pain in her lungs.	May pananakit sa kanyang mga baga.
She has pain in her nose.	May pananakit sa kanyang ilong.
She has pain in her spine.	May pananakit sa kanyang galugod.
She has pain in her tongue.	May pananakit sa kanyang dila.
She has strong teeth.	Matitibay ang mga ngipin niya.
She has swelling in her arm.	Namamaga ang kanyang braso.
She has swelling in her arms.	Namamaga ang kanyang mga braso.
She has swelling in her back.	Namamaga ang kanyang likod.
She has swelling in her brain.	Namamaga ang kanyang utak.
She has swelling in her breast.	Namamaga ang kanyang suso.
She has swelling in her chest.	Namamaga ang kanyang dibdib.
She has swelling in her ear.	Namamaga ang kanyang tenga.
She has swelling in her ears.	Namamaga ang kanyang mga tenga.
She has swelling in her elbow.	Namamaga ang kanyang siko.
She has swelling in her elbows.	Namamaga ang kanyang mga siko.
She has swelling in her eye.	Namamaga ang kanyang mata.
She has swelling in her eyes.	Namamaga ang kanyang mga mata.
She has swelling in her feet.	Namamaga ang kanyang mga paa.
She has swelling in her finger.	Namamaga ang kanyang daliri.
She has swelling in her foot.	Namamaga ang kanyang paa.
She has swelling in her hand.	Namamaga ang kanyang kamay.
She has swelling in her hands.	Namamaga ang kanyang mga kamay.
She has swelling in her heart.	Namamaga ang kanyang puso.
She has swelling in her kidney.	Namamaga ang kanyang bato.
She has swelling in her knee.	Namamaga ang kanyang tuhod.
She has swelling in her knees.	Namamaga ang kanyang mga tuhod.
She has swelling in her lung.	Namamaga ang kanyang baga.
She has swelling in her lungs.	Namamaga ang kanyang mga baga.
She has swelling in her nose.	Namamaga ang kanyang ilong.
She has swelling in her spine.	Namamaga ang kanyang galugod.
She has swelling in her tongue.	Namamaga ang kanyang dila.
She has to drink water.	Kailangan niyang uminom ng tubig.
She has to keep living.	Kailangan pa niyang mabuhay.
She has to stop eating.	Kailangan niyang tumigil sa pagkakain.
She has tumor in her arm.	May tumor siya sa kanyang braso.
She has tumor in her back.	May tumor siya sa kanyang likod.
She has tumor in her brain.	May tumor siya sa kanyang utak.
She has tumor in her breast.	May tumor siya sa kanyang suso.
She has tumor in her chest.	May tumor siya sa kanyang dibdib.
She has tumor in her ear.	May tumor siya sa kanyang tenga.
She has tumor in her elbow.	May tumor siya sa kanyang siko.
She has tumor in her eye.	May tumor siya sa kanyang mata.
She has tumor in her eyes.	May tumor siya sa kanyang mga mata.
She has tumor in her feet.	May tumor siya sa kanyang mga paa.
She has tumor in her finger.	May tumor siya sa kanyang daliri.
She has tumor in her foot.	May tumor siya sa kanyang paa.
She has tumor in her hand.	May tumor siya sa kanyang kamay.
She has tumor in her heart.	May tumor siya sa kanyang puso.
She has tumor in her kidney.	May tumor siya sa kanyang bato.
She has tumor in her knee.	May tumor siya sa kanyang tuhod.
She has tumor in her lung.	May tumor siya sa kanyang baga.
She has tumor in her nose.	May tumor siya sa kanyang ilong.
She has tumor in her spine.	May tumor siya sa kanyang galugod.
She has tumor in her tongue.	May tumor siya sa kanyang dila.
She has twin babies.	Mayroon siyang magkambal na sanggol.
She has white teeth.	Mapuputi ang mga ngipin niya.
She helped the dentist.	Tinulungan niya ang dentista.
She helped the doctor.	Tinulungan niya ang doktor.
She helped the nurse.	Tinulungan niya ang nurse.
She hid in the flowers.	Nagtago siya sa mga bulaklak.
She injured herself.	Sinaktan niya ang sarili niya.
She intended to go shopping.	Tinangka niyang mamalengke.
She is a brilliant writer.	Isa siyang magaling na manunulat.
She is admitting the patient.	Pinapapasok niya ang pasyente.
She is as white as a snow.	Sing puti siya ng nyebe.
She is asking about your heart.	Kinakamusta niya ang puso mo.
